"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pad.incubateur.net/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","pad.incubateur.net/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pad.incubateur.net/5.104.101.30","443","OK","not offered","",""
"SSLv3","pad.incubateur.net/5.104.101.30","443","OK","not offered","",""
"TLS1","pad.incubateur.net/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","pad.incubateur.net/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","pad.incubateur.net/5.104.101.30","443","OK","offered","",""
"TLS1_3","pad.incubateur.net/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","pad.incubateur.net/5.104.101.30","443","OK","h2","",""
"ALPN","pad.incubateur.net/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","pad.incubateur.net/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pad.incubateur.net/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pad.incubateur.net/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pad.incubateur.net/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pad.incubateur.net/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","pad.incubateur.net/5.104.101.30","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","pad.incubateur.net/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG","pad.incubateur.net/5.104.101.30","443","OK","offered","",""
"cipher_order","pad.incubateur.net/5.104.101.30","443","OK","server","",""
"protocol_negotiated","pad.incubateur.net/5.104.101.30","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","pad.incubateur.net/5.104.101.30","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","pad.incubateur.net/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","pad.incubateur.net/5.104.101.30","443","OK","offered","",""
"FS_ciphers","pad.incubateur.net/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","pad.incubateur.net/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","pad.incubateur.net/5.104.101.30","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","pad.incubateur.net/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","pad.incubateur.net/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","pad.incubateur.net/5.104.101.30","443","INFO","not supported","",""
"sessionresumption_ID","pad.incubateur.net/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","pad.incubateur.net/5.104.101.30","443","INFO","random","",""
"clientAuth","pad.incubateur.net/5.104.101.30","443","INFO","none","",""
"cert_numbers","pad.incubateur.net/5.104.101.30","443","INFO","1","",""
"cert_signatureAlgorithm","pad.incubateur.net/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","pad.incubateur.net/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pad.incubateur.net/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pad.incubateur.net/5.104.101.30","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","pad.incubateur.net/5.104.101.30","443","INFO","035D1D67061C4E8DC32B653217557E98CF6B","",""
"cert_fingerprintSHA1","pad.incubateur.net/5.104.101.30","443","INFO","145900C832CABA2F5D914BB1417A1A653E214F37","",""
"cert_fingerprintSHA256","pad.incubateur.net/5.104.101.30","443","INFO","E5755000EA016009E951AB61CF5D72D350DFBDF4FB9EEBA4342DD5CBD1BE01C4","",""
